Sales Person,Country,Product,Date,Amount,Boxes Shipped
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2022-01-31,"$2,016.00 ",277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2022-06-30,"$7,588.00 ",42
Barr Faughny,Canada,Manuka Honey Choco,2022-08-25,"$3,402.00 ",249
Gigi Bohling,New Zealand,Smooth Sliky Salty,2022-01-10,$700.00 ,97
Brien Boise,USA,Manuka Honey Choco,2022-08-22,"$1,904.00 ",8
Roddy Speechley,New Zealand,85% Dark Bars,2022-04-14,"$4,844.00 ",275
Oby Sorrel,UK,Smooth Sliky Salty,2022-05-31,"$9,625.00 ",313
Oby Sorrel,UK,Raspberry Choco,2022-04-08,"$4,599.00 ",323
Roddy Speechley,USA,Drinking Coco,2022-02-21,"$3,003.00 ",155
Andria Kimpton,Australia,Manuka Honey Choco,2022-03-30,"$9,744.00 ",377
Mallorie Waber,India,Raspberry Choco,2022-03-02,"$1,400.00 ",2
Jehu Rudeforth,USA,Orange Choco,2022-07-28,$364.00 ,170
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,"$7,231.00 ",38
Curtice Advani,Australia,After Nines,2022-08-11,$63.00 ,105
Husein Augar,UK,Almond Choco,2022-05-17,"$8,309.00 ",166
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,"$3,164.00 ",164
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,"$5,691.00 ",171
Ches Bonnell,New Zealand,Eclairs,2022-04-04,$490.00 ,49
Brien Boise,India,85% Dark Bars,2022-08-09,"$18,032.00 ",205
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,$637.00 ,313
Andria Kimpton,Canada,White Choc,2022-02-14,"$4,067.00 ",29
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,"$8,204.00 ",307
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,"$9,870.00 ",121
Husein Augar,Canada,70% Dark Bites,2022-01-31,"$5,131.00 ",285
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,"$1,141.00 ",205
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,"$7,980.00 ",157
Van Tuxwell,New Zealand,Eclairs,2022-03-01,"$5,229.00 ",182
Mallorie Waber,UK,Drinking Coco,2022-05-27,"$3,423.00 ",100
Oby Sorrel,UK,Milk Bars,2022-07-11,"$6,468.00 ",223
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-03-02,"$4,326.00 ",61
Jehu Rudeforth,USA,Raspberry Choco,2022-03-04,"$7,154.00 ",133
Kelci Walkden,UK,85% Dark Bars,2022-06-23,"$3,997.00 ",228
Kelci Walkden,USA,Almond Choco,2022-01-27,"$5,180.00 ",233
Marney O'Breen,Canada,Orange Choco,2022-01-14,"$2,723.00 ",425
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,$952.00 ,24
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,"$5,691.00 ",495
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,"$10,969.00 ",170
Brien Boise,India,Smooth Sliky Salty,2022-05-27,"$5,964.00 ",26
Jan Morforth,Australia,Drinking Coco,2022-02-18,"$2,821.00 ",24
Brien Boise,India,Spicy Special Slims,2022-01-28,"$1,302.00 ",33
Van Tuxwell,UK,Eclairs,2022-06-29,"$5,474.00 ",109
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,"$4,179.00 ",276
Jehu Rudeforth,UK,After Nines,2022-06-27,"$1,946.00 ",164
Barr Faughny,Canada,White Choc,2022-03-29,"$4,291.00 ",1
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,"$7,196.00 ",160
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,"$1,939.00 ",98
Mallorie Waber,India,Eclairs,2022-04-12,"$10,437.00 ",46
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,"$6,916.00 ",259
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,"$3,647.00 ",310
Kaine Padly,Australia,50% Dark Bites,2022-08-02,"$8,995.00 ",78
Gigi Bohling,Australia,Eclairs,2022-04-12,"$7,252.00 ",136
Oby Sorrel,India,Drinking Coco,2022-07-21,"$16,380.00 ",130
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,"$9,660.00 ",24
Husein Augar,India,Peanut Butter Cubes,2022-05-09,"$4,522.00 ",5
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,$329.00 ,109
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,"$3,458.00 ",294
Brien Boise,India,70% Dark Bites,2022-04-14,"$4,641.00 ",413
Jehu Rudeforth,Canada,White Choc,2022-01-25,"$4,627.00 ",136
Andria Kimpton,Australia,Almond Choco,2022-04-25,"$3,192.00 ",175
Dotty Strutley,Canada,After Nines,2022-01-17,$252.00 ,237
Karlen McCaffrey,USA,Eclairs,2022-08-15,$868.00 ,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,$210.00 ,16
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,"$7,007.00 ",135
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,"$5,845.00 ",91
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,"$1,372.00 ",614
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,"$8,428.00 ",216
Camilla Castle,UK,Mint Chip Choco,2022-05-26,"$4,977.00 ",317
Brien Boise,USA,70% Dark Bites,2022-04-14,"$1,694.00 ",21
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,"$4,326.00 ",154
Mallorie Waber,Australia,Eclairs,2022-08-22,"$9,527.00 ",222
Marney O'Breen,India,99% Dark & Pure,2022-07-22,"$10,766.00 ",157
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,"$1,288.00 ",27
Kelci Walkden,Australia,Almond Choco,2022-05-30,"$4,879.00 ",350
Ches Bonnell,USA,Milk Bars,2022-07-21,"$2,408.00 ",157
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,"$3,094.00 ",468
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,"$7,231.00 ",130
Oby Sorrel,India,85% Dark Bars,2022-07-05,"$8,981.00 ",130
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,$7.00 ,518
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,"$1,372.00 ",105
Jan Morforth,UK,50% Dark Bites,2022-01-12,"$5,250.00 ",293
Gunar Cockshoot,Canada,White Choc,2022-08-11,"$7,560.00 ",15
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,"$5,012.00 ",384
Husein Augar,UK,Baker's Choco Chips,2022-04-29,"$3,038.00 ",135
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,"$1,099.00 ",92
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,"$7,413.00 ",4
Madelene Upcott,UK,70% Dark Bites,2022-02-16,"$5,397.00 ",239
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,"$2,303.00 ",33
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,"$1,141.00 ",518
Beverie Moffet,India,Eclairs,2022-06-09,"$10,325.00 ",147
Andria Kimpton,India,Eclairs,2022-05-16,"$2,149.00 ",84
Gigi Bohling,UK,85% Dark Bars,2022-06-23,"$12,362.00 ",94
Roddy Speechley,UK,Raspberry Choco,2022-01-28,"$12,635.00 ",194
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,"$2,443.00 ",216
Barr Faughny,Canada,Drinking Coco,2022-04-18,"$6,237.00 ",247
Oby Sorrel,USA,Milk Bars,2022-06-14,"$1,736.00 ",79
Oby Sorrel,UK,Orange Choco,2022-04-15,"$7,315.00 ",237
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,"$4,935.00 ",63
Gigi Bohling,India,White Choc,2022-04-13,"$1,393.00 ",172
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,"$3,381.00 ",408
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,"$2,933.00 ",233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,"$3,836.00 ",59
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,"$8,022.00 ",123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,$371.00 ,229
Kelci Walkden,Canada,After Nines,2022-01-13,"$16,702.00 ",198
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,"$13,258.00 ",32
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,"$2,058.00 ",236
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,"$10,192.00 ",67
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,"$7,140.00 ",438
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,"$9,835.00 ",167
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,"$5,775.00 ",135
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,$749.00 ,148
Camilla Castle,Canada,Orange Choco,2022-02-17,"$7,770.00 ",54
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,"$5,502.00 ",64
Oby Sorrel,UK,70% Dark Bites,2022-03-16,"$6,223.00 ",181
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,"$3,507.00 ",114
Gigi Bohling,New Zealand,After Nines,2022-01-21,"$5,600.00 ",181
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,$721.00 ,151
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,"$6,615.00 ",137
Barr Faughny,USA,White Choc,2022-05-05,"$7,420.00 ",163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,"$3,164.00 ",84
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,"$9,114.00 ",140
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,"$5,404.00 ",187
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,"$3,990.00 ",169
Ches Bonnell,UK,85% Dark Bars,2022-06-28,"$14,924.00 ",12
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,"$7,091.00 ",194
Roddy Speechley,USA,Milk Bars,2022-05-16,"$2,807.00 ",252
Jan Morforth,India,After Nines,2022-03-14,"$6,496.00 ",168
Gunar Cockshoot,USA,After Nines,2022-08-15,"$3,738.00 ",261
Ches Bonnell,India,Orange Choco,2022-02-16,"$1,190.00 ",256
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,"$8,379.00 ",43
Barr Faughny,Australia,Raspberry Choco,2022-05-27,"$9,268.00 ",100
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,"$1,029.00 ",98
Wilone O'Kielt,India,Eclairs,2022-02-25,"$3,549.00 ",76
Wilone O'Kielt,India,After Nines,2022-08-04,"$12,026.00 ",262
Kelci Walkden,India,99% Dark & Pure,2022-06-28,"$2,303.00 ",244
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,"$13,405.00 ",12
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,"$14,763.00 ",113
Kaine Padly,New Zealand,Eclairs,2022-01-20,"$12,894.00 ",48
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,"$8,302.00 ",131
Curtice Advani,UK,Drinking Coco,2022-07-12,$455.00 ,174
Kelci Walkden,India,Raspberry Choco,2022-06-16,"$8,183.00 ",254
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,"$1,645.00 ",284
Kaine Padly,UK,50% Dark Bites,2022-02-21,"$3,143.00 ",67
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,"$5,873.00 ",249
Ches Bonnell,India,50% Dark Bites,2022-04-15,"$11,298.00 ",313
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,"$12,425.00 ",167
Oby Sorrel,UK,White Choc,2022-06-27,"$1,715.00 ",286
Barr Faughny,India,After Nines,2022-07-29,"$8,190.00 ",109
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,"$4,991.00 ",166
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,"$15,491.00 ",85
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,"$5,096.00 ",142
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,"$7,063.00 ",104
Beverie Moffet,USA,70% Dark Bites,2022-06-27,"$2,275.00 ",115
Barr Faughny,Canada,Orange Choco,2022-06-30,"$7,602.00 ",18
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,"$4,200.00 ",80
Oby Sorrel,India,Spicy Special Slims,2022-06-08,"$11,137.00 ",88
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,"$3,388.00 ",212
Kaine Padly,Australia,After Nines,2022-04-08,"$6,832.00 ",306
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,"$3,437.00 ",181
Wilone O'Kielt,UK,Milk Bars,2022-08-26,$301.00 ,65
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,"$1,869.00 ",158
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,"$17,465.00 ",271
Madelene Upcott,USA,Almond Choco,2022-05-31,"$10,143.00 ",24
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,"$3,626.00 ",10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,"$3,346.00 ",304
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,"$6,321.00 ",88
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,"$9,345.00 ",133
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,"$15,008.00 ",165
Kelci Walkden,New Zealand,White Choc,2022-04-13,"$7,609.00 ",150
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,"$10,332.00 ",180
Mallorie Waber,India,White Choc,2022-07-26,$819.00 ,213
Brien Boise,UK,Drinking Coco,2022-01-27,"$5,754.00 ",133
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,$28.00 ,446
Oby Sorrel,USA,Almond Choco,2022-05-19,"$6,440.00 ",141
Husein Augar,India,Eclairs,2022-02-09,"$4,956.00 ",58
Brien Boise,UK,Spicy Special Slims,2022-05-25,"$2,352.00 ",58
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,"$3,906.00 ",76
Beverie Moffet,India,White Choc,2022-07-04,"$1,813.00 ",296
Ches Bonnell,India,Almond Choco,2022-04-13,"$11,788.00 ",73
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,"$5,768.00 ",119
Camilla Castle,USA,85% Dark Bars,2022-04-25,"$2,401.00 ",78
Camilla Castle,USA,Eclairs,2022-06-10,"$4,515.00 ",392
Madelene Upcott,New Zealand,White Choc,2022-08-22,"$10,794.00 ",51
Van Tuxwell,India,After Nines,2022-06-27,"$13,706.00 ",207
Husein Augar,India,Orange Choco,2022-06-30,"$4,361.00 ",40
Jehu Rudeforth,India,Almond Choco,2022-08-30,"$10,122.00 ",100
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,$994.00 ,57
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,"$2,268.00 ",42
Gigi Bohling,Australia,Orange Choco,2022-03-09,$574.00 ,156
Kelci Walkden,UK,Drinking Coco,2022-04-20,"$1,792.00 ",23
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,"$4,844.00 ",539
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,$938.00 ,158
Brien Boise,Australia,White Choc,2022-08-25,"$4,879.00 ",22
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,"$9,107.00 ",73
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,"$12,187.00 ",27
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,"$5,670.00 ",64
Gigi Bohling,USA,Milk Bars,2022-06-16,$476.00 ,133
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,"$2,681.00 ",149
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,"$1,533.00 ",434
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,"$9,765.00 ",85
Beverie Moffet,Canada,Drinking Coco,2022-07-05,$994.00 ,118
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,"$3,318.00 ",299
Mallorie Waber,Canada,Almond Choco,2022-05-12,"$4,214.00 ",35
Oby Sorrel,USA,Drinking Coco,2022-03-11,"$7,714.00 ",44
Brien Boise,New Zealand,Eclairs,2022-07-11,"$4,690.00 ",299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,"$13,062.00 ",62
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,"$12,488.00 ",200
Curtice Advani,USA,After Nines,2022-04-13,"$14,147.00 ",235
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,$49.00 ,363
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,"$10,199.00 ",68
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,"$11,389.00 ",26
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,"$3,584.00 ",200
Camilla Castle,Canada,Drinking Coco,2022-03-03,"$12,481.00 ",264
Kaine Padly,USA,Spicy Special Slims,2022-06-13,"$2,107.00 ",175
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,"$8,603.00 ",352
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,"$7,483.00 ",183
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,"$3,381.00 ",417
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,"$2,030.00 ",146
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,"$6,559.00 ",158
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,"$10,822.00 ",168
Kaine Padly,UK,After Nines,2022-01-21,"$18,697.00 ",176
Kaine Padly,Canada,After Nines,2022-08-22,"$5,845.00 ",172
Kaine Padly,UK,Drinking Coco,2022-01-27,"$2,317.00 ",224
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,"$10,150.00 ",68
Dotty Strutley,USA,Raspberry Choco,2022-01-03,"$3,437.00 ",46
Karlen McCaffrey,USA,White Choc,2022-08-24,"$4,592.00 ",2
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,"$5,691.00 ",417
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,"$4,158.00 ",109
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,"$5,684.00 ",81
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,$693.00 ,350
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,$546.00 ,142
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,"$4,263.00 ",264
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,"$1,036.00 ",20
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,"$13,846.00 ",421
Beverie Moffet,UK,50% Dark Bites,2022-02-09,"$2,499.00 ",271
Van Tuxwell,UK,Almond Choco,2022-06-06,"$10,689.00 ",204
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,"$5,768.00 ",235
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,"$2,226.00 ",46
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,"$10,262.00 ",15
Barr Faughny,UK,Milk Bars,2022-03-02,"$3,864.00 ",430
Van Tuxwell,Canada,Drinking Coco,2022-06-15,"$4,900.00 ",709
Jehu Rudeforth,Australia,After Nines,2022-02-14,"$5,250.00 ",47
Husein Augar,UK,After Nines,2022-07-05,"$3,507.00 ",380
Barr Faughny,India,Mint Chip Choco,2022-01-12,"$7,413.00 ",465
Curtice Advani,India,Mint Chip Choco,2022-03-03,"$8,155.00 ",96
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,"$2,478.00 ",188
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,"$2,471.00 ",202
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,"$1,666.00 ",106
Andria Kimpton,India,Orange Choco,2022-05-30,$301.00 ,421
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,"$8,400.00 ",27
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,"$6,139.00 ",45
Kelci Walkden,Australia,Drinking Coco,2022-05-04,"$1,288.00 ",60
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,"$7,077.00 ",77
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,"$2,317.00 ",464
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,$63.00 ,60
Jan Morforth,UK,Almond Choco,2022-07-06,"$9,744.00 ",157
Husein Augar,India,Raspberry Choco,2022-06-15,"$9,954.00 ",154
Dotty Strutley,India,Mint Chip Choco,2022-04-14,"$1,260.00 ",239
Camilla Castle,India,Drinking Coco,2022-08-08,$469.00 ,163
Marney O'Breen,UK,Drinking Coco,2022-03-29,$973.00 ,28
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,"$3,647.00 ",76
Ches Bonnell,India,99% Dark & Pure,2022-02-16,$455.00 ,96
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,"$2,520.00 ",156
Van Tuxwell,India,Eclairs,2022-07-21,"$10,500.00 ",106
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,"$7,952.00 ",235
Kaine Padly,USA,85% Dark Bars,2022-06-22,$483.00 ,259
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,"$4,872.00 ",126
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,"$7,756.00 ",85
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,"$5,446.00 ",132
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,"$6,594.00 ",91
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,"$1,470.00 ",167
Curtice Advani,Canada,Eclairs,2022-05-06,$721.00 ,203
Roddy Speechley,India,Drinking Coco,2022-05-31,"$4,494.00 ",11
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,"$2,674.00 ",295
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,$658.00 ,77
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,"$1,127.00 ",319
Gigi Bohling,USA,70% Dark Bites,2022-01-14,"$7,364.00 ",196
Rafaelita Blaksland,Australia,White Choc,2022-03-21,"$6,818.00 ",102
Roddy Speechley,Canada,Drinking Coco,2022-05-17,"$6,776.00 ",312
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,"$15,099.00 ",55
Madelene Upcott,Canada,Milk Bars,2022-04-26,"$3,612.00 ",82
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,"$3,710.00 ",260
Oby Sorrel,Canada,Eclairs,2022-05-19,"$6,111.00 ",591
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,"$2,702.00 ",24
Mallorie Waber,New Zealand,After Nines,2022-05-04,$483.00 ,228
Roddy Speechley,Canada,White Choc,2022-04-05,"$5,887.00 ",268
Andria Kimpton,India,After Nines,2022-01-17,$952.00 ,68
Roddy Speechley,India,Spicy Special Slims,2022-03-22,"$10,647.00 ",173
Dotty Strutley,Australia,White Choc,2022-07-05,"$6,055.00 ",93
Oby Sorrel,Canada,Orange Choco,2022-04-27,"$8,757.00 ",338
Kaine Padly,Canada,Almond Choco,2022-08-12,"$6,055.00 ",73
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,$721.00 ,251
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,"$8,589.00 ",229
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,"$11,781.00 ",91
Brien Boise,USA,Raspberry Choco,2022-01-12,$672.00 ,194
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,"$12,558.00 ",403
Roddy Speechley,India,50% Dark Bites,2022-03-14,"$8,337.00 ",12
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,"$8,134.00 ",195
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,"$8,491.00 ",75
Beverie Moffet,India,Almond Choco,2022-05-24,"$3,066.00 ",96
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,$301.00 ,205
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,"$4,410.00 ",323
Jehu Rudeforth,USA,White Choc,2022-06-07,"$6,559.00 ",119
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,$574.00 ,217
Dotty Strutley,India,Eclairs,2022-07-28,"$2,086.00 ",384
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,"$5,075.00 ",344
Jehu Rudeforth,UK,Mint Chip Choco,2023-01-04,"$5,902.13 ",178
Van Tuxwell,India,85% Dark Bars,2023-08-01,"$8,074.39 ",100
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,"$4,666.18 ",100
Jan Morforth,Australia,Peanut Butter Cubes,2023-04-27,"$14,103.40 ",350
Jehu Rudeforth,UK,Peanut Butter Cubes,2023-02-24,"$14,167.84 ",178
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,"$5,768.75 ",37
Oby Sorrel,UK,99% Dark & Pure,2023-01-25,"$14,673.20 ",175
Gunar Cockshoot,Australia,After Nines,2023-03-24,"$3,249.23 ",78
Jehu Rudeforth,New Zealand,50% Dark Bites,2023-04-20,"$4,526.24 ",64
Brien Boise,Australia,99% Dark & Pure,2023-07-04,"$3,166.56 ",98
Rafaelita Blaksland,UK,Smooth Sliky Salty,2023-01-13,"$4,866.39 ",65
Barr Faughny,USA,Orange Choco,2023-03-10,"$4,254.37 ",12
Mallorie Waber,Canada,Eclairs,2023-01-13,"$1,652.61 ",277
Karlen McCaffrey,New Zealand,Drinking Coco,2023-07-28,$171.49 ,163
Marney O'Breen,New Zealand,Peanut Butter Cubes,2023-08-03,"$8,549.84 ",169
Beverie Moffet,Australia,Organic Choco Syrup,2023-01-26,"$7,807.74 ",355
Van Tuxwell,Canada,Organic Choco Syrup,2023-02-14,"$4,561.43 ",44
Roddy Speechley,USA,Smooth Sliky Salty,2023-04-05,"$3,041.12 ",148
Beverie Moffet,Canada,Milk Bars,2023-02-16,"$9,786.09 ",248
Curtice Advani,UK,85% Dark Bars,2023-06-08,"$1,131.25 ",175
Brien Boise,Australia,Eclairs,2023-06-27,"$7,484.07 ",94
Gunar Cockshoot,USA,Spicy Special Slims,2023-02-17,"$1,339.61 ",166
Marney O'Breen,USA,After Nines,2023-05-30,"$5,481.18 ",159
Husein Augar,UK,Drinking Coco,2023-03-14,"$3,275.40 ",120
Kaine Padly,Australia,Eclairs,2023-02-28,"$7,677.78 ",118
Karlen McCaffrey,India,Fruit & Nut Bars,2023-01-26,$189.37 ,315
Roddy Speechley,Canada,Spicy Special Slims,2023-02-09,"$1,658.79 ",193
Husein Augar,USA,Eclairs,2023-07-07,"$4,168.93 ",122
Dennison Crosswaite,New Zealand,White Choc,2023-07-05,"$10,604.89 ",165
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2023-06-15,"$5,773.51 ",325
Van Tuxwell,New Zealand,85% Dark Bars,2023-05-24,"$1,838.78 ",121
Rafaelita Blaksland,UK,99% Dark & Pure,2023-06-29,"$12,643.10 ",150
Wilone O'Kielt,Australia,Manuka Honey Choco,2023-05-11,"$4,439.52 ",95
Karlen McCaffrey,UK,Almond Choco,2023-06-30,"$7,698.60 ",126
Andria Kimpton,Canada,After Nines,2023-05-11,"$2,222.30 ",77
Roddy Speechley,USA,Manuka Honey Choco,2023-07-22,"$10,959.02 ",302
Andria Kimpton,UK,50% Dark Bites,2023-08-24,"$2,854.85 ",337
Kelci Walkden,New Zealand,After Nines,2023-07-07,$147.82 ,74
Camilla Castle,Australia,85% Dark Bars,2023-05-19,"$3,790.51 ",14
